Date,Throughput
14:32:51.723,0.0
14:32:52.723,0.0
14:32:53.723,0.0
14:32:54.723,0.0
14:32:55.723,0.0
14:32:56.723,0.0
14:32:57.723,0.0
14:32:58.723,1419.0
14:32:59.723,2565.0
14:33:00.723,2625.0
14:33:01.723,2883.0
14:33:02.723,3134.0
14:33:03.723,3107.0
14:33:04.784,2447.0
14:33:05.723,2818.0
14:33:06.723,2983.0
14:33:07.724,2926.0
14:33:08.723,2684.0
14:33:09.724,2724.0
14:33:10.723,2953.0
14:33:11.723,2904.0
14:33:12.723,2834.0
14:33:13.723,2701.0
14:33:14.724,2360.0
14:33:15.723,2865.0
14:33:16.723,3044.0
14:33:17.723,3039.0
14:33:18.723,2973.0
14:33:19.724,3126.0
14:33:20.723,3197.0
14:33:21.723,3104.0
14:33:22.724,3134.0
14:33:23.723,3148.0
14:33:24.723,2758.0
14:33:25.723,3041.0
14:33:26.724,480.0
14:33:27.723,0.0
14:33:28.724,0.0
14:33:29.723,0.0
14:33:30.724,0.0
14:33:31.723,0.0
14:33:32.724,5.0
14:33:33.723,474.0
14:33:34.723,3218.0
14:33:35.723,3416.0
14:33:36.723,3319.0
14:33:37.723,3065.0
14:33:38.723,3095.0
14:33:39.723,3252.0
14:33:40.724,3187.0
14:33:41.723,2827.0
14:33:42.723,3256.0
14:33:43.723,3134.0
14:33:44.723,3010.0
14:33:45.724,2982.0
14:33:46.723,2782.0
14:33:47.723,3051.0
14:33:48.724,3099.0
14:33:49.723,3140.0
14:33:50.723,3162.0
14:33:51.723,2977.0
14:33:52.723,3161.0
14:33:53.724,3120.0
14:33:54.723,3162.0
14:33:55.723,3184.0
14:33:56.724,3030.0
14:33:57.723,3184.0
14:33:58.723,2339.0
14:33:59.723,1313.0
14:34:00.723,0.0
14:34:01.723,0.0
14:34:02.723,0.0
14:34:03.723,0.0
14:34:04.723,0.0
14:34:05.724,0.0
14:34:06.723,0.0
14:34:07.723,0.0
14:34:08.724,0.0
14:34:09.723,0.0
14:34:10.723,0.0
14:34:11.723,0.0
14:34:12.723,0.0
14:34:13.723,0.0
14:34:14.723,0.0
14:34:15.723,0.0
14:34:16.723,0.0
14:34:17.723,0.0
14:34:18.723,0.0
14:34:19.724,0.0
14:34:20.723,0.0
14:34:21.723,0.0
14:34:22.723,0.0
14:34:23.723,0.0
14:34:24.723,0.0
14:34:25.723,0.0
14:34:26.723,0.0
14:34:27.723,0.0
14:34:28.723,0.0
14:34:29.724,0.0
14:34:30.723,0.0
14:34:31.723,0.0
14:34:33.724,0.0
14:34:34.723,0.0
14:34:35.723,0.0
14:34:36.723,0.0
14:34:37.723,0.0
14:34:38.723,0.0
14:34:39.723,0.0
14:34:40.723,1422.0
